"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;233,433;233,755;254,259;294,396;320,674;381,502;447,746;511,374;631,49;714,7;784,611;754,402;746,922;705,597;617,126;635,789;580,253;586,204;611,268;423,993;422,229;no data;no data;no data;no data;no data;no data;no data
Albania;728,359;817,734;824,542;815,529;788,332;788,801;855,724;832,245;805,046;860,784;675,736;408,022;259,75;452,623;736,028;903,989;1009,967;717,381;818,32;1032,264;1127,64;1283,573;1425,125;1846,119;2373,58;2673,773;2972,745;3595,053;4370,562;4114,09;4097,833;4439,89;4248,909;4415,6;4584,919;3953,611;4124,405;4525,887;5257,714;5345,058;5278,986;6259,762;6657,637;7956,559;8924,317;9474,065;10135,055;10827,923;11578,584;12389,74
Algeria;2462,085;2502,13;2446,588;2514,256;2640,191;2988,545;2929,092;2935,816;2326,571;2309,34;2684,465;1975,201;2033,196;2056,556;1674,567;1626,997;1783,41;1800,196;1772,368;1769,091;1947,755;1919,41;1958,238;2304,603;2839,82;3258,153;3690,572;4208,244;5214,762;4262,144;4941,493;5946,345;6057,974;5997,896;6108,878;4691,686;4426,58;4554,15;4568,244;4452,856;3757,585;4169,984;4981,822;5323,635;5721,678;5869,435;5998,622;6073,858;6129,969;6170,756
Andorra;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;49030,229;51957,313;45713,97;45630,195;46299,282;38877,485;39595,317;40017,741;42229,903;40688,491;36973,845;41806,876;41378,881;43784,571;44899,596;45570,14;46093,258;46597,511;47098,423;47563,642
Angola;802,627;731,427;712,576;723,654;747,325;817,068;743,735;828,958;875,526;991,295;1062,788;996,472;743,754;522,991;368,84;445,424;555,75;631,28;517,868;474,186;681,129;645,145;872,658;982,806;1254,696;1900,724;2597,964;3121,349;4081,718;3123,699;3586,664;4608,155;5083,827;5228,511;5371,217;4130,93;3468,518;4039,3;3240,858;2612,246;1709,283;2169,648;3439,391;2565,912;2431,58;2444,365;2455,711;2528,702;2571,26;2617,815
Antigua and Barbuda;1920,249;2177,087;2448,585;2752,968;3200,985;3763,974;4617,61;5455,264;6547,259;7273,247;7623,434;7927,588;8084,427;8474,038;9097,243;8675,237;9266,473;9678,32;10074,75;10349,52;10931,312;10411,422;10485,776;10921,845;11613,334;12785,872;14317,674;16060,877;16574,257;14688,677;13574,44;13295,364;13825,317;13414,902;13980,61;14728,706;15588,535;15686,747;16889,792;17370,041;14468,071;15709,338;17441,463;19123,213;20532,983;21507,87;22250,512;23019,442;23818,088;24647,694
Argentina;8361,209;6671,428;3257,853;3962,735;4374,783;3248,745;3857,027;3909,984;4524,498;2867,307;4857,796;6429,454;7653,711;7796,24;8378,735;8295,123;8645,455;9196,516;9283,175;8709,072;8638,543;8085,356;2997,621;3761,088;4314,098;5163,55;5976,082;7315,726;9146,79;8337,811;10412,974;12787,806;13889,792;14488,829;13208,831;14895,316;12772,868;14618,327;11786,433;9941,59;8489,332;10639,378;13640,41;14024,239;12811,84;11733,98;12314,778;12953,291;13517,009;14002,033
Armenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;31,321;247,884;196,98;399,576;503,774;521,869;608,415;597,241;620,638;692,287;779,122;923,387;1180,399;1628,063;2128,151;3079,031;3913,436;2911,763;3121,778;3417,172;3575,529;3732,035;3889,004;3529,026;3524;3868,906;4195,963;4596,861;4268,55;4685,368;6587,219;8153,076;8575,301;9162,97;9837,009;10556,195;11328,096;12161,756
Aruba;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;16546,617;16620,854;17751,072;18825,012;19215,013;20681,137;20740,206;21307,261;21949,392;23700,571;24171,995;24845,66;26736,575;28172,075;25134,689;24093,07;25712,438;25119,747;25813,523;26129,732;27458,248;27441,561;28440,093;30082,212;31096,315;23565,55;28813,136;33032,454;36745,657;38018,431;39105,779;40354,646;41689,328;43082,996;44523,254
Australia;11009,307;12530,468;12236,781;11593,889;12577,14;10969,385;11247,057;13000,737;16248,647;18206,38;18874,398;18669,073;18117,087;17455,632;19748,8;20921,817;23172,288;23036,829;20394,935;21780,066;20910,76;19498,339;21702,46;27303,124;32871,417;36256,077;37976,196;45205,282;49205,307;45778,86;56591,468;67288,507;68485,597;65250,621;61658,696;51471,651;51829,835;55842,751;56434,012;54395,694;53252,586;64327,187;65574,862;65434,328;66589,055;68613,946;70750,809;72808,266;75319,725;78151,369
Austria;10731,955;9280,728;9267,664;9417,235;8882,629;9090,795;12886,095;16093,014;17632,815;17547,811;21827,44;22621,881;25068,398;24152,659;25725,557;30350,529;29820,596;26737,482;27399,085;27210,471;24636,471;24558,922;26508,32;32298,607;36883,892;38450,609;40674,883;46922,558;51914,013;48111,662;46955,173;51452,276;48616,903;50747,384;51814,424;44267,809;45278,829;47320,537;51234,477;50192,49;48837,35;53696,159;52483,93;57081,047;59225,15;61354,469;63303,028;65025,938;66679,531;68360,109
Azerbaijan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;159,971;174,875;297,162;316,227;411,14;553,468;543,344;576,005;656,386;674,783;760,812;879,863;1039,818;1567,194;2453,261;3813,751;5564,444;4964,696;5880,509;7238,602;7545,553;7926,6;7938,578;5524,527;3897,788;4217,653;4759,796;4841,145;4280,429;5468,269;7822,589;7525,428;7640,915;7808,084;8014,664;8256,333;8548,969;8906,405
Bahamas, The;12291,741;12496,221;13749,496;14961,6;15630,102;16801,08;17854,136;19329,928;19687,5;21818,62;20460,303;19767,715;19417,216;18979,006;19660,918;20271,249;20974,532;21951,756;23300,816;25780,485;26601,368;26971,273;28357,927;27896,338;28056,572;30030,89;30594,671;31498,523;30787,585;28793,341;28725,135;28365,859;29895,418;28695,885;30055,888;31576,619;31463,129;32471,737;33183,686;33888,774;25049,586;29230,943;32298,948;34224,065;35257,198;36173,394;37053,514;37914,305;38861,507;39829,543
